date,time,year,month,day,mins,hour,index,value,site.name,period,season
2022-12-23,13:00:00,2022,12,23,0,13,acoustic_complexity,1878.38158636651,Meadow cove,midday,Summer
2022-12-23,13:10:00,2022,12,23,10,13,acoustic_complexity,1878.1190912702,Meadow cove,midday,Summer
2022-12-23,13:20:00,2022,12,23,20,13,acoustic_complexity,1878.79152493043,Meadow cove,midday,Summer
2022-12-23,13:30:00,2022,12,23,30,13,acoustic_complexity,1868.2589568585,Meadow cove,midday,Summer
2022-12-23,13:40:00,2022,12,23,40,13,acoustic_complexity,1889.987093313,Meadow cove,midday,Summer
2022-12-23,13:50:00,2022,12,23,50,13,acoustic_complexity,1865.60788661447,Meadow cove,midday,Summer
2022-12-23,14:00:00,2022,12,23,0,14,acoustic_complexity,1866.10293547047,Meadow cove,afternoon,Summer
2022-12-23,14:10:00,2022,12,23,10,14,acoustic_complexity,1908.22226983936,Meadow cove,afternoon,Summer
2022-12-23,14:20:00,2022,12,23,20,14,acoustic_complexity,2044.32671163548,Meadow cove,afternoon,Summer
2022-12-23,14:30:00,2022,12,23,30,14,acoustic_complexity,2071.9763506876,Meadow cove,afternoon,Summer
2022-12-23,14:40:00,2022,12,23,40,14,acoustic_complexity,2168.84105020503,Meadow cove,afternoon,Summer
2022-12-23,14:50:00,2022,12,23,50,14,acoustic_complexity,2105.58969323858,Meadow cove,afternoon,Summer
2022-12-23,15:00:00,2022,12,23,0,15,acoustic_complexity,2293.9064472603,Meadow cove,afternoon,Summer
2022-12-23,15:10:00,2022,12,23,10,15,acoustic_complexity,2225.76823506646,Meadow cove,afternoon,Summer
2022-12-23,15:20:00,2022,12,23,20,15,acoustic_complexity,2230.30861004793,Meadow cove,afternoon,Summer
2022-12-23,15:30:00,2022,12,23,30,15,acoustic_complexity,2237.91634128326,Meadow cove,afternoon,Summer
2022-12-23,15:40:00,2022,12,23,40,15,acoustic_complexity,2206.38759030142,Meadow cove,afternoon,Summer
2022-12-23,15:50:00,2022,12,23,50,15,acoustic_complexity,2147.66729766172,Meadow cove,afternoon,Summer
2022-12-23,16:00:00,2022,12,23,0,16,acoustic_complexity,2200.71099860975,Meadow cove,afternoon,Summer
2022-12-23,16:10:00,2022,12,23,10,16,acoustic_complexity,2155.18552031391,Meadow cove,afternoon,Summer
2022-12-23,16:20:00,2022,12,23,20,16,acoustic_complexity,2137.71762693021,Meadow cove,afternoon,Summer
2022-12-23,16:30:00,2022,12,23,30,16,acoustic_complexity,2104.22907973434,Meadow cove,afternoon,Summer
2022-12-23,16:40:00,2022,12,23,40,16,acoustic_complexity,2073.60739920768,Meadow cove,afternoon,Summer
2022-12-23,16:50:00,2022,12,23,50,16,acoustic_complexity,2074.36271256346,Meadow cove,afternoon,Summer
2022-12-23,17:00:00,2022,12,23,0,17,acoustic_complexity,2127.35430953344,Meadow cove,afternoon,Summer
2022-12-23,17:10:00,2022,12,23,10,17,acoustic_complexity,2088.59190039753,Meadow cove,afternoon,Summer
2022-12-23,17:20:00,2022,12,23,20,17,acoustic_complexity,2150.03951797941,Meadow cove,afternoon,Summer
2022-12-23,17:30:00,2022,12,23,30,17,acoustic_complexity,2094.23782343084,Meadow cove,afternoon,Summer
2022-12-23,17:40:00,2022,12,23,40,17,acoustic_complexity,2080.47269152523,Meadow cove,afternoon,Summer
2022-12-23,17:50:00,2022,12,23,50,17,acoustic_complexity,2144.30918003332,Meadow cove,afternoon,Summer
2022-12-23,18:00:00,2022,12,23,0,18,acoustic_complexity,2101.40116783752,Meadow cove,dusk,Summer
2022-12-23,18:10:00,2022,12,23,10,18,acoustic_complexity,2147.09750900239,Meadow cove,dusk,Summer
2022-12-23,18:20:00,2022,12,23,20,18,acoustic_complexity,2133.00357874478,Meadow cove,dusk,Summer
2022-12-23,18:30:00,2022,12,23,30,18,acoustic_complexity,2111.54145940083,Meadow cove,dusk,Summer
2022-12-23,18:40:00,2022,12,23,40,18,acoustic_complexity,2120.48390334584,Meadow cove,dusk,Summer
2022-12-23,18:50:00,2022,12,23,50,18,acoustic_complexity,2122.10858535955,Meadow cove,dusk,Summer
2022-12-23,19:00:00,2022,12,23,0,19,acoustic_complexity,2166.62710622057,Meadow cove,dusk,Summer
2022-12-23,19:10:00,2022,12,23,10,19,acoustic_complexity,2207.37824440686,Meadow cove,dusk,Summer
2022-12-23,19:20:00,2022,12,23,20,19,acoustic_complexity,2219.79117528165,Meadow cove,dusk,Summer
2022-12-23,19:30:00,2022,12,23,30,19,acoustic_complexity,2102.99671938261,Meadow cove,dusk,Summer
2022-12-23,19:40:00,2022,12,23,40,19,acoustic_complexity,2130.8836737363,Meadow cove,dusk,Summer
2022-12-23,19:50:00,2022,12,23,50,19,acoustic_complexity,2088.258178522,Meadow cove,dusk,Summer
2022-12-23,20:00:00,2022,12,23,0,20,acoustic_complexity,2209.09703218251,Meadow cove,night,Summer
2022-12-23,20:10:00,2022,12,23,10,20,acoustic_complexity,2258.09035273047,Meadow cove,night,Summer
2022-12-23,20:20:00,2022,12,23,20,20,acoustic_complexity,2291.75397261697,Meadow cove,night,Summer
2022-12-23,20:30:00,2022,12,23,30,20,acoustic_complexity,2192.41223503579,Meadow cove,night,Summer
2022-12-23,20:40:00,2022,12,23,40,20,acoustic_complexity,2304.16173225209,Meadow cove,night,Summer
2022-12-23,20:50:00,2022,12,23,50,20,acoustic_complexity,2265.32207482312,Meadow cove,night,Summer
2022-12-23,21:00:00,2022,12,23,0,21,acoustic_complexity,2687.29738899484,Meadow cove,night,Summer
2022-12-23,21:10:00,2022,12,23,10,21,acoustic_complexity,2565.44337918156,Meadow cove,night,Summer
2022-12-23,21:20:00,2022,12,23,20,21,acoustic_complexity,2770.08593704595,Meadow cove,night,Summer
2022-12-23,21:30:00,2022,12,23,30,21,acoustic_complexity,2984.15036056993,Meadow cove,night,Summer
2022-12-23,21:40:00,2022,12,23,40,21,acoustic_complexity,2748.51116013282,Meadow cove,night,Summer
2022-12-23,21:50:00,2022,12,23,50,21,acoustic_complexity,2959.84846205378,Meadow cove,night,Summer
2022-12-23,22:00:00,2022,12,23,0,22,acoustic_complexity,2952.18241018872,Meadow cove,night,Summer
2022-12-23,22:10:00,2022,12,23,10,22,acoustic_complexity,3047.38312949267,Meadow cove,night,Summer
2022-12-23,22:20:00,2022,12,23,20,22,acoustic_complexity,2962.40353893718,Meadow cove,night,Summer
2022-12-23,22:30:00,2022,12,23,30,22,acoustic_complexity,2637.82391983021,Meadow cove,night,Summer
2022-12-23,22:40:00,2022,12,23,40,22,acoustic_complexity,2770.54510193784,Meadow cove,night,Summer
2022-12-23,22:50:00,2022,12,23,50,22,acoustic_complexity,2935.79634905333,Meadow cove,night,Summer
2022-12-23,23:00:00,2022,12,23,0,23,acoustic_complexity,2866.33870244313,Meadow cove,night,Summer
2022-12-23,23:10:00,2022,12,23,10,23,acoustic_complexity,3275.62502714874,Meadow cove,night,Summer
2022-12-23,23:20:00,2022,12,23,20,23,acoustic_complexity,3125.83436106652,Meadow cove,night,Summer
2022-12-23,23:30:00,2022,12,23,30,23,acoustic_complexity,3073.93449063404,Meadow cove,night,Summer
2022-12-23,23:40:00,2022,12,23,40,23,acoustic_complexity,2772.46921541294,Meadow cove,night,Summer
2022-12-23,23:50:00,2022,12,23,50,23,acoustic_complexity,3145.53893094312,Meadow cove,night,Summer
2022-12-24,00:00:00,2022,12,24,0,0,acoustic_complexity,2790.25907310086,Meadow cove,pre-dawn,Summer
2022-12-24,00:10:00,2022,12,24,10,0,acoustic_complexity,3102.24187029371,Meadow cove,pre-dawn,Summer
2022-12-24,00:20:00,2022,12,24,20,0,acoustic_complexity,2914.1554405826,Meadow cove,pre-dawn,Summer
2022-12-24,00:30:00,2022,12,24,30,0,acoustic_complexity,2851.12920116744,Meadow cove,pre-dawn,Summer
2022-12-24,00:40:00,2022,12,24,40,0,acoustic_complexity,3168.02787637637,Meadow cove,pre-dawn,Summer
2022-12-24,00:50:00,2022,12,24,50,0,acoustic_complexity,2886.87465904318,Meadow cove,pre-dawn,Summer
2022-12-24,01:00:00,2022,12,24,0,1,acoustic_complexity,2899.67129462838,Meadow cove,pre-dawn,Summer
2022-12-24,01:10:00,2022,12,24,10,1,acoustic_complexity,2980.67009552958,Meadow cove,pre-dawn,Summer
2022-12-24,01:20:00,2022,12,24,20,1,acoustic_complexity,2954.31897679036,Meadow cove,pre-dawn,Summer
2022-12-24,01:30:00,2022,12,24,30,1,acoustic_complexity,3133.35005184868,Meadow cove,pre-dawn,Summer
2022-12-24,01:40:00,2022,12,24,40,1,acoustic_complexity,3163.57271615862,Meadow cove,pre-dawn,Summer
2022-12-24,01:50:00,2022,12,24,50,1,acoustic_complexity,3152.00605420788,Meadow cove,pre-dawn,Summer
2022-12-24,02:00:00,2022,12,24,0,2,acoustic_complexity,3107.50685648827,Meadow cove,pre-dawn,Summer
2022-12-24,02:10:00,2022,12,24,10,2,acoustic_complexity,3139.54094194801,Meadow cove,pre-dawn,Summer
2022-12-24,02:20:00,2022,12,24,20,2,acoustic_complexity,3244.88815228409,Meadow cove,pre-dawn,Summer
2022-12-24,02:30:00,2022,12,24,30,2,acoustic_complexity,3058.21076313075,Meadow cove,pre-dawn,Summer
2022-12-24,02:40:00,2022,12,24,40,2,acoustic_complexity,3100.45126682807,Meadow cove,pre-dawn,Summer
2022-12-24,02:50:00,2022,12,24,50,2,acoustic_complexity,3185.4316145838998,Meadow cove,pre-dawn,Summer
2022-12-24,03:00:00,2022,12,24,0,3,acoustic_complexity,2994.26645399039,Meadow cove,pre-dawn,Summer
2022-12-24,03:10:00,2022,12,24,10,3,acoustic_complexity,2999.05240566589,Meadow cove,pre-dawn,Summer
2022-12-24,03:20:00,2022,12,24,20,3,acoustic_complexity,3071.73466647466,Meadow cove,pre-dawn,Summer
2022-12-24,03:30:00,2022,12,24,30,3,acoustic_complexity,2954.81297129624,Meadow cove,pre-dawn,Summer
2022-12-24,03:40:00,2022,12,24,40,3,acoustic_complexity,2884.31990133647,Meadow cove,pre-dawn,Summer
2022-12-24,03:50:00,2022,12,24,50,3,acoustic_complexity,3059.43160157137,Meadow cove,pre-dawn,Summer
2022-12-24,04:00:00,2022,12,24,0,4,acoustic_complexity,3189.01188568613,Meadow cove,pre-dawn,Summer
2022-12-24,04:10:00,2022,12,24,10,4,acoustic_complexity,3024.3978692765,Meadow cove,pre-dawn,Summer
2022-12-24,04:20:00,2022,12,24,20,4,acoustic_complexity,3209.54923021654,Meadow cove,pre-dawn,Summer
2022-12-24,04:30:00,2022,12,24,30,4,acoustic_complexity,2984.85420160187,Meadow cove,pre-dawn,Summer
2022-12-24,04:40:00,2022,12,24,40,4,acoustic_complexity,3059.00052328868,Meadow cove,pre-dawn,Summer
2022-12-24,04:50:00,2022,12,24,50,4,acoustic_complexity,2951.13491566061,Meadow cove,pre-dawn,Summer
2022-12-24,05:00:00,2022,12,24,0,5,acoustic_complexity,3202.88300539177,Meadow cove,dawn,Summer
2022-12-24,05:10:00,2022,12,24,10,5,acoustic_complexity,3116.76158711602,Meadow cove,dawn,Summer
2022-12-24,05:20:00,2022,12,24,20,5,acoustic_complexity,2839.99239739081,Meadow cove,dawn,Summer
2022-12-24,05:30:00,2022,12,24,30,5,acoustic_complexity,2766.77288579624,Meadow cove,dawn,Summer
